,Title,Scope 1,Scope 2 (location based),Scope 2 (market based),Purchased goods and services,Capital goods,Fuel-and-energy-related activities (not included in Scope 1 or 2),Upstream transportation and distribution,Waste generated in operations,Business travel,Employee commuting,Upstream leased assets,Downstream transportation and distribution,Processing of sold products,Use of sold products,End of life treatment of sold products,Downstream leased assets,Franchises,Investments,Other (upstream),Other (downstream)
27,Hyundai Motor Co - Climate Change 2020,8.308722462684779,19.54428532756182,0.0,11.480843926417533,0.0025806072199632485,0.999332434953019,0.0,0.02110751642463964,0.2553464578287141,0.15517571621874626,0.0,9.814316571415528,0.0,45.22838014051047,0.08692842248920025,0.04242065892258312,0.0,4.060559757353008,0.0,0.0
28,Hyundai Motor Co - Climate Change 2019,9.881826701521316,22.828210949596137,0.0,7.16222489545752,0.029643458989355137,0.6873407413229453,0.0,0.0326421995135794,0.45233557041857264,0.20723564238097408,0.0,10.057868213991258,1.5666691185568233,42.518869993535645,0.05870923569638042,0.01817018239459091,0.0,4.498253096624918,0.0,0.0
29,BYD - Climate Change 2020,0.06561049155314641,99.93438950844686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Suzuki Motor Corporation - Climate Change 2020,0.7016792998975075,0.6611328234989357,0.6374807122664354,9.79535292328832,1.0384403122078683,0.20160609098178786,0.07320891571964364,0.005631455055357203,0.013515492132857288,0.05293567752035771,0.0,0.8740018245914379,0.0,85.33005958079448,0.03378873033214322,0.0,0.0,0.5811661617128634,0.0,0.0
31,Mazda Motor Corporation - Climate Change 2019,0.35047823362997216,1.5491620102259422,0.0,11.98525877263259,0.24733764769416108,0.17331571219169362,0.07777601863084958,0.012536571181019186,0.004331634378902445,0.008875214170839871,0.0,0.11744425199800941,0.0,84.38871551754103,1.0847684157249933,0.0,0.0,0.0,0.0,0.0
32,Navistar International Corporation - Climate Change 2019,0.08879198780984657,0.12474804293056987,0.0,0.0,0.0,49.89322998462979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.89322998462979,0.0,0.0,0.0,0.0,0.0,0.0
33,Isuzu Motors Limited - Climate Change 2020,0.39610977829892524,0.3691770863814373,0.33253887052746123,24.135919971461046,4.45365723295403,0.07245165398212414,0.04456539844806425,0.01830677736298065,0.0029154933564154184,0.04016475716009136,0.0,0.1000775976093612,0.8936589964986953,69.13933293457202,0.0011234513873405278,0.0,0.0,0.0,0.0,0.0
34,Volkswagen AG - Climate Change 2019,0.9189608825708755,1.439006289879169,0.969331300340375,15.232393504778326,3.210370687386348,0.31686643311438467,1.0882911510666093,0.5116783851208508,0.15996754333584856,0.22802704907539853,0.0,0.0,0.002936510581160201,75.0762663751576,0.25883262626977427,0.23694884587725118,0.35012241544602396,0.0,0.0,0.0
35,Renault - Climate Change 2019,0.6152500112157655,0.6151823038862069,0.5132456729938363,13.145826015183527,1.4539434849517168,0.14779768044520408,0.48852971521193467,1.039964177072178,0.0731062934676998,0.04819648867377415,0.0005741210547507158,0.5146109495569914,0.0012317168993682564,77.91076290828876,1.7635978554510285,0.0,0.2907046657018774,1.3774759399453795,0.0,0.0
36,Ford Motor Company - Climate Change 2018,0.6322117251834651,1.5826318726434085,1.5269441489797306,19.168381087122746,0.4766804794059676,0.49990611763110887,1.1061513556844933,0.05816135002573789,0.025438858945926318,0.04764559761131405,0.0,0.0,0.0,73.34986125969179,0.6362441497123204,0.0,0.8897419973619863,0.0,0.0,0.0
37,PACCAR Inc - Climate Change 2018,0.07210347706521854,0.10849810967021734,0.11258989151683868,2.082678277807375,0.7500070250668942,0.016081273054627195,0.7647226224947768,0.00016587418798192597,0.006390417827113962,0.02650381047102513,0.0,0.1562620082585939,0.06224215824531282,85.49134668454016,0.00771806696017088,10.342690302833686,0.0,0.0,0.0,0.0
38,Mahindra &amp; Mahindra - Climate Change 2019,0.23873080127775037,1.2933233856671835,1.22239997400459,45.64203846649977,1.688099671770342,0.3041626951203556,0.3803585480941609,0.08409408272591967,0.07988468409300706,0.012492577107590722,0.0,0.6662794725837582,0.0,42.95751290121869,4.355729065634199,0.4172885881449928,0.6576050860576942,0.0,0.0,0.0
39,"Nissan Motor Co., Ltd. - Climate Change 2020",0.4289822461367371,1.3102591997864936,1.2180770877682923,8.754854102794509,0.5571270792687415,0.20065542693984853,0.3267656813014852,0.09584379331484386,0.12386829428409644,0.13339662461364232,0.0,0.42597241473263936,0.004483920155080414,85.99486269420971,0.2068208171530841,0.21803061754078515,0.0,0.0,0.0,0.0
40,Mahindra &amp; Mahindra - Climate Change 2018,0.2625789159728663,1.4406862958697968,1.426437632669699,35.90536560332528,4.7722713909278776,0.35093068421449647,0.45282088233394346,0.788647166473753,0.07182784430997717,0.011036900123234154,0.0,1.6657611212758419,0.0,47.66191667984139,4.397324764019259,0.0,0.7923941186425834,0.0,0.0,0.0
41,Ford Motor Company - Climate Change 2019,0.7907688397040101,1.8357530895741683,1.764460409238793,17.07704054993415,0.6617069045524003,0.6576208867758994,1.2512607414425603,0.0012801686595904176,0.030390853247536896,0.44857087911352,0.0,0.0,0.0,73.69581557364194,0.7124226273405577,0.0,1.0729084767748798,0.0,0.0,0.0
42,PACCAR Inc - Climate Change 2019,0.06883453521316142,0.09751734381882235,0.1016648173621267,2.13989005444312,0.591377557081821,0.01451956721812588,1.0266315482081712,0.00017560555287490301,0.006428640822397744,0.025730475766874136,0.0,0.3216832309398571,0.05079887881821668,86.37609327598666,0.007961353366422383,9.170693115401349,0.0,0.0,0.0,0.0
43,Renault - Climate Change 2018,0.6038119718999134,0.6300386454512198,0.5457075043953631,11.498913570537196,1.2180816923353104,0.15435690513729786,0.5018556330984538,1.003065372745871,0.07048737214340091,0.04748032536533706,0.0005537507564982316,0.5286485816560016,0.0,79.92675067295254,1.5458189433803986,0.0,0.290555437325644,1.4338736208195542,0.0,0.0
44,Daimler AG - Climate Change 2018,1.3618685933908243,2.3318572140190206,2.0142402098557244,19.651123998592432,1.2201976994474835,0.21936138417033413,0.28676930951434304,1.032826517135323,0.10945219064332296,0.3278995690462807,0.0,0.6855043255322941,0.11425072092204902,68.77893399507352,1.1425072092204902,0.0,0.7232070634365703,0.0,0.0,0.0
45,Volkswagen AG - Climate Change 2018,1.2076602486513686,1.6584212795289015,1.3788731268433372,18.02298606693953,3.8908421757928653,0.39332496091150887,1.2293181992024025,0.6348942148280032,0.1925254817274042,0.27443707305439013,0.0,0.0,0.0036529790095807834,70.0997258492643,0.31307547503388217,0.2647153719163543,0.4355474972961703,0.0,0.0,0.0
46,Groupe PSA - Climate Change 2020,0.7008032137855021,0.47002817705973393,0.2651305548717365,14.281639511176499,0.0,0.0,0.46285100072332347,0.0,0.019246627655510894,0.26424592432692134,0.0,0.1747397627056619,0.0,82.53858122559002,0.8227340021050895,0.0,0.0,0.0,0.0,0.0
47,Navistar International Corporation - Climate Change 2018,0.15431659984916982,0.2904404746061256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5552429255447,0.0,0.0,0.0,0.0,0.0,0.0
